stemming,sampling,features,algorithms,accuracy,precision,recall,f1,auc_roc
before,default,statistics,Logistic Regression,0.9342194955691888,0.639344262295082,0.0967741935483871,0.16810344827586204,0.7905882005725584
before,default,statistics,K-Nearest Neighbors,0.9248466257668712,0.2978723404255319,0.06947890818858561,0.11267605633802817,0.6741862835685697
before,default,statistics,Support Vector Machine,0.9289366053169734,0.18181818181818182,0.009925558312655087,0.018823529411764704,0.3601767621157876
before,default,statistics,Naive Bayes,0.9151329243353783,0.20125786163522014,0.0794044665012407,0.11387900355871886,0.6203601079733654
before,default,statistics,Decision Tree,0.932856169052488,0.5542168674698795,0.1141439205955335,0.18930041152263374,0.7004361161372051
before,default,statistics,Random Forest,0.9340490797546013,0.8333333333333334,0.04962779156327544,0.09367681498829039,0.7833197496361916
before,default,statistics,GBDT,0.935412406271302,0.74,0.09181141439205956,0.16335540838852097,0.798542041731842
before,default,statistics,NN,0.9337082481254261,0.7916666666666666,0.04714640198511166,0.08899297423887588,0.7847668106765588
before,default,statistics_tfidf,Logistic Regression,0.9512610770279482,0.8421052631578947,0.3573200992555831,0.5017421602787455,0.9555390835885479
before,default,statistics_tfidf,K-Nearest Neighbors,0.9316632583503749,0.515625,0.08188585607940446,0.14132762312633831,0.7234796664540195
before,default,statistics_tfidf,Support Vector Machine,0.11758691206543967,0.06216761415734458,0.8411910669975186,0.11577868852459015,0.5061360473484547
before,default,statistics_tfidf,Naive Bayes,0.9434219495569189,0.6392156862745098,0.4044665012406948,0.4954407294832827,0.9426812628978908
before,default,statistics_tfidf,Decision Tree,0.9435923653715065,0.95,0.18858560794044665,0.3146997929606625,0.639235014609096
before,default,statistics_tfidf,Random Forest,0.9366053169734151,1.0,0.07692307692307693,0.14285714285714288,0.9093264378097481
before,default,statistics_tfidf,GBDT,0.9534764826175869,0.9333333333333333,0.34739454094292804,0.5063291139240507,0.8827081427264409
before,default,statistics_tfidf,NN,0.9693251533742331,0.8105849582172702,0.7220843672456576,0.7637795275590551,0.9570179282099714
before,default,statistics_tfidf_pos,Logistic Regression,0.9377982276755283,0.6826923076923077,0.1761786600496278,0.28007889546351084,0.7916468208473049
before,default,statistics_tfidf_pos,K-Nearest Neighbors,0.9342194955691888,0.6164383561643836,0.11166253101736973,0.18907563025210083,0.7656085761182713
before,default,statistics_tfidf_pos,Support Vector Machine,0.11724608043626449,0.062144821264894595,0.8411910669975186,0.11573916012290884,0.5040519525334919
before,default,statistics_tfidf_pos,Naive Bayes,0.9403544648943422,0.5691906005221932,0.5409429280397022,0.5547073791348601,0.9060540911144458
before,default,statistics_tfidf_pos,Decision Tree,0.943762781186094,0.9195402298850575,0.19851116625310175,0.326530612244898,0.6189954572181646
before,default,statistics_tfidf_pos,Random Forest,0.9372869802317655,1.0,0.08684863523573201,0.1598173515981735,0.9063971267642726
before,default,statistics_tfidf_pos,GBDT,0.9536468984321745,0.9395973154362416,0.34739454094292804,0.5072463768115942,0.8852403860342944
before,default,statistics_tfidf_pos,NN,0.961826857532379,0.7374005305039788,0.6898263027295285,0.7128205128205128,0.9601181895164128
before,default,statistics_tfidf_pos_liwc,Logistic Regression,0.9413769597818678,0.7006802721088435,0.2555831265508685,0.37454545454545457,0.8685926003282789
before,default,statistics_tfidf_pos_liwc,K-Nearest Neighbors,0.939161554192229,0.6666666666666666,0.228287841191067,0.34011090573012936,0.8174777912227371
before,default,statistics_tfidf_pos_liwc,Support Vector Machine,0.9280845262440355,0.1724137931034483,0.01240694789081886,0.02314814814814815,0.39287752651091196
before,default,statistics_tfidf_pos_liwc,Naive Bayes,0.9183708248125426,0.4396825396825397,0.6873449131513648,0.5363020329138432,0.8844680450146316
before,default,statistics_tfidf_pos_liwc,Decision Tree,0.946319018404908,0.9,0.2456575682382134,0.3859649122807018,0.661008356811562
before,default,statistics_tfidf_pos_liwc,Random Forest,0.9376278118609407,1.0,0.09181141439205956,0.16818181818181818,0.9184780659236875
before,default,statistics_tfidf_pos_liwc,GBDT,0.9558623040218133,0.95,0.3771712158808933,0.5399644760213144,0.9023771848374157
before,default,statistics_tfidf_pos_liwc,NN,0.9683026584867076,0.8677966101694915,0.6352357320099256,0.7335243553008596,0.9518969122251003
before,under,statistics,Logistic Regression,0.7631224764468372,0.7910447761194029,0.7142857142857143,0.7507082152974505,0.836492478914877
before,under,statistics,K-Nearest Neighbors,0.7321668909825033,0.7574850299401198,0.6819407008086253,0.7177304964539007,0.7717336173666058
before,under,statistics,Support Vector Machine,0.4306864064602961,0.4624277456647399,0.862533692722372,0.6020696142991533,0.45964843636785213
before,under,statistics,Naive Bayes,0.5302826379542396,0.9230769230769231,0.0646900269541779,0.12090680100755667,0.633763730690085
before,under,statistics,Decision Tree,0.756393001345895,0.8958333333333334,0.5795148247978437,0.7037643207855975,0.7699837695272875
before,under,statistics,Random Forest,0.7779273216689099,0.8065476190476191,0.7304582210242587,0.7666195190947667,0.8468901254963337
before,under,statistics,GBDT,0.765814266487214,0.7957957957957958,0.7142857142857143,0.7528409090909091,0.8466292786134539
before,under,statistics,NN,0.7685060565275909,0.8042813455657493,0.7088948787061995,0.7535816618911175,0.8361374373242907
before,under,statistics_tfidf,Logistic Regression,0.9609690444145357,0.9723756906077348,0.9487870619946092,0.9604365620736699,0.9924499318899805
before,under,statistics_tfidf,K-Nearest Neighbors,0.7483176312247645,0.7690058479532164,0.7088948787061995,0.7377279102384293,0.8221096716227575
before,under,statistics_tfidf,Support Vector Machine,0.4306864064602961,0.4624277456647399,0.862533692722372,0.6020696142991533,0.4387589484972321
before,under,statistics_tfidf,Naive Bayes,0.800807537012113,0.9744680851063829,0.6172506738544474,0.7557755775577557,0.9741109468741849
before,under,statistics_tfidf,Decision Tree,0.6500672947510094,0.5882352941176471,0.9973045822102425,0.74,0.7331174100802829
before,under,statistics_tfidf,Random Forest,0.9071332436069987,0.9660493827160493,0.8436657681940701,0.9007194244604316,0.9813204648871112
before,under,statistics_tfidf,GBDT,0.8802153432032301,0.8938547486033519,0.862533692722372,0.8779149519890261,0.962626438280729
before,under,statistics_tfidf,NN,0.9771197846567967,0.9862637362637363,0.967654986522911,0.9768707482993197,0.9980726313653886
before,under,statistics_tfidf_pos,Logistic Regression,0.873485868102288,0.8879551820728291,0.8544474393530997,0.8708791208791209,0.9379474248616063
before,under,statistics_tfidf_pos,K-Nearest Neighbors,0.8411843876177658,0.8235294117647058,0.8679245283018868,0.8451443569553806,0.9109823783439122
before,under,statistics_tfidf_pos,Support Vector Machine,0.4266487213997308,0.46008708272859217,0.8544474393530997,0.5981132075471698,0.5756383502883806
before,under,statistics_tfidf_pos,Naive Bayes,0.8721399730820996,0.9539473684210527,0.7816711590296496,0.8592592592592592,0.9537721357563109
before,under,statistics_tfidf_pos,Decision Tree,0.7792732166890982,0.7390300230946882,0.862533692722372,0.7960199004975124,0.8413616207286323
before,under,statistics_tfidf_pos,Random Forest,0.9098250336473755,0.9130434782608695,0.9056603773584906,0.9093369418132612,0.9756434223111035
before,under,statistics_tfidf_pos,GBDT,0.9084791386271871,0.9061662198391421,0.9110512129380054,0.9086021505376344,0.9734370924267455
before,under,statistics_tfidf_pos,NN,0.9730820995962315,0.9808219178082191,0.9649595687331537,0.9728260869565217,0.9984059357157349
before,under,statistics_tfidf_pos_liwc,Logistic Regression,0.9057873485868102,0.8970976253298153,0.9164420485175202,0.9066666666666666,0.9625612265600094
before,under,statistics_tfidf_pos_liwc,K-Nearest Neighbors,0.8586810228802153,0.8427835051546392,0.8814016172506739,0.8616600790513835,0.9276186128742429
before,under,statistics_tfidf_pos_liwc,Support Vector Machine,0.44414535666218036,0.4700854700854701,0.889487870619946,0.6150978564771669,0.6342129669883778
before,under,statistics_tfidf_pos_liwc,Naive Bayes,0.8761776581426649,0.913946587537092,0.8301886792452831,0.8700564971751413,0.9270280845143901
before,under,statistics_tfidf_pos_liwc,Decision Tree,0.7873485868102288,0.7350993377483444,0.8975741239892183,0.8082524271844659,0.8446258296380025
before,under,statistics_tfidf_pos_liwc,Random Forest,0.8909825033647375,0.881578947368421,0.9029649595687331,0.8921438082556591,0.965535605599513
before,under,statistics_tfidf_pos_liwc,GBDT,0.927321668909825,0.9138381201044387,0.9433962264150944,0.9283819628647214,0.9786033098571139
before,under,statistics_tfidf_pos_liwc,NN,0.9650067294751009,0.994269340974212,0.9353099730458221,0.9638888888888888,0.9986957655856012
before,over,statistics,Logistic Regression,0.7598814229249012,0.7917783735478106,0.3411628802464382,0.4768568353067815,0.7843975622549917
before,over,statistics,K-Nearest Neighbors,0.8584486166007905,0.7448531893351333,0.8498267231420871,0.793884892086331,0.944294243858389
before,over,statistics,Support Vector Machine,0.3136116600790514,0.3068893528183716,0.9056603773584906,0.45843485040444404,0.5954812171191135
before,over,statistics,Naive Bayes,0.6781126482213439,0.40816326530612246,0.007701193685021178,0.01511715797430083,0.4018679701136546
before,over,statistics,Decision Tree,0.7388833992094862,0.728909952606635,0.2961108971890643,0.4211391018619934,0.6896662977124066
before,over,statistics,Random Forest,0.7880434782608695,0.7137311984473557,0.5664227955333077,0.6316015457277802,0.8279960307832075
before,over,statistics,GBDT,0.7839673913043478,0.7183316168898043,0.5371582595302272,0.6146728354263054,0.8196053848975797
before,over,statistics,NN,0.7761857707509882,0.7172108467072495,0.49903735078937234,0.5885558583106266,0.7912093864092489
before,over,statistics_tfidf,Logistic Regression,0.9156373517786561,0.9299191374663073,0.797073546399692,0.8583868961227452,0.9689238488630586
before,over,statistics_tfidf,K-Nearest Neighbors,0.883893280632411,0.7346360804304729,0.9988448209472468,0.8466057441253263,0.9952282079081414
before,over,statistics_tfidf,Support Vector Machine,0.5922677865612648,0.40692755156002114,0.5926068540623797,0.482520771280765,0.6180688994246372
before,over,statistics_tfidf,Naive Bayes,0.8422677865612648,0.9667609618104668,0.5263765883711975,0.6816255297930691,0.9514440018253748
before,over,statistics_tfidf,Decision Tree,0.7539525691699605,0.8194297782470961,0.2988063149788217,0.4379232505643341,0.7095052392695337
before,over,statistics_tfidf,Random Forest,0.7646986166007905,0.9805555555555555,0.2718521370812476,0.42568586071751585,0.9162416760340716
before,over,statistics_tfidf,GBDT,0.8595602766798419,0.8578431372549019,0.6738544474393531,0.7547983610092732,0.9095721748127552
before,over,statistics_tfidf,NN,0.9929594861660079,0.9828897338403042,0.9953792837889873,0.9890950832217335,0.9990487296216493
before,over,statistics_tfidf_pos,Logistic Regression,0.7966897233201581,0.8122127380170716,0.47631882941855985,0.6004854368932039,0.8449464645197857
before,over,statistics_tfidf_pos,K-Nearest Neighbors,0.8706768774703557,0.7126783754116356,1.0,0.8322384233295946,0.9945300027596293
before,over,statistics_tfidf_pos,Support Vector Machine,0.6854001976284585,0.631578947368421,0.04620716211012707,0.08611410118406888,0.6114645901593199
before,over,statistics_tfidf_pos,Naive Bayes,0.870800395256917,0.9369014084507042,0.6403542549095109,0.7607502287282707,0.9240402725233832
before,over,statistics_tfidf_pos,Decision Tree,0.7624752964426877,0.8410931174089069,0.31998459761263,0.4635983263598327,0.6486192084632183
before,over,statistics_tfidf_pos,Random Forest,0.772850790513834,0.9834183673469388,0.29688101655756644,0.456078083407276,0.9096652361548847
before,over,statistics_tfidf_pos,GBDT,0.8638833992094862,0.8651685393258427,0.6819407008086253,0.7627045650301463,0.9159490474797006
before,over,statistics_tfidf_pos,NN,0.9917243083003953,0.9809885931558935,0.993453985367732,0.9871819399273005,0.999113186330024
before,over,statistics_tfidf_pos_liwc,Logistic Regression,0.8360918972332015,0.8377659574468085,0.6064690026954178,0.7035961581416127,0.8973719308926053
before,over,statistics_tfidf_pos_liwc,K-Nearest Neighbors,0.8668478260869565,0.7066666666666667,1.0,0.828125,0.9947182961749688
before,over,statistics_tfidf_pos_liwc,Support Vector Machine,0.314846837944664,0.3094315245478036,0.9222179437812861,0.46338396053013436,0.630067790531173
before,over,statistics_tfidf_pos_liwc,Naive Bayes,0.8698122529644269,0.8566805362921868,0.7135155949172122,0.7785714285714286,0.8934982262676247
before,over,statistics_tfidf_pos_liwc,Decision Tree,0.7828557312252964,0.8762331838565023,0.37620331151328457,0.5264008620689655,0.6807479541034624
before,over,statistics_tfidf_pos_liwc,Random Forest,0.790143280632411,0.9797008547008547,0.353099730458221,0.5191055759977357,0.930378002007296
before,over,statistics_tfidf_pos_liwc,GBDT,0.8733942687747036,0.8849167482859941,0.6958028494416635,0.779047208450097,0.9328137023268067
before,over,statistics_tfidf_pos_liwc,NN,0.991600790513834,0.986159169550173,0.9876780901039661,0.9869180454020777,0.9992049172240718
simple,default,statistics,Logistic Regression,0.9342194955691888,0.639344262295082,0.0967741935483871,0.16810344827586204,0.7905882005725584
simple,default,statistics,K-Nearest Neighbors,0.9248466257668712,0.2978723404255319,0.06947890818858561,0.11267605633802817,0.6741862835685697
simple,default,statistics,Support Vector Machine,0.9289366053169734,0.18181818181818182,0.009925558312655087,0.018823529411764704,0.3601767621157876
simple,default,statistics,Naive Bayes,0.9151329243353783,0.20125786163522014,0.0794044665012407,0.11387900355871886,0.6203601079733654
simple,default,statistics,Decision Tree,0.932856169052488,0.5542168674698795,0.1141439205955335,0.18930041152263374,0.7004361161372051
simple,default,statistics,Random Forest,0.9340490797546013,0.8333333333333334,0.04962779156327544,0.09367681498829039,0.7833197496361916
simple,default,statistics,GBDT,0.935412406271302,0.74,0.09181141439205956,0.16335540838852097,0.798542041731842
simple,default,statistics,NN,0.9333674164962509,0.7142857142857143,0.04962779156327544,0.09280742459396753,0.7810163481119416
simple,default,statistics_tfidf,Logistic Regression,0.9582481254260395,0.8623853211009175,0.4665012406947891,0.605475040257649,0.9640336996769425
simple,default,statistics_tfidf,K-Nearest Neighbors,0.9318336741649625,0.5238095238095238,0.08188585607940446,0.14163090128755362,0.7297734965798597
simple,default,statistics_tfidf,Support Vector Machine,0.7815269256987049,0.10933333333333334,0.3052109181141439,0.16099476439790575,0.61286826386729
simple,default,statistics_tfidf,Naive Bayes,0.9377982276755283,0.5664335664335665,0.40198511166253104,0.47024673439767783,0.9452296250218513
simple,default,statistics_tfidf,Decision Tree,0.9429107021131561,0.7833333333333333,0.23325062034739455,0.3594646271510516,0.6782003228303732
simple,default,statistics_tfidf,Random Forest,0.940013633265167,1.0,0.12655086848635236,0.22466960352422907,0.9373416212804697
simple,default,statistics_tfidf,GBDT,0.9573960463531016,0.9090909090909091,0.4218362282878412,0.576271186440678,0.9209998660549084
simple,default,statistics_tfidf,NN,0.9746080436264485,0.8713450292397661,0.739454094292804,0.7999999999999999,0.9570058958542857
simple,default,statistics_tfidf_pos,Logistic Regression,0.9372869802317655,0.6666666666666666,0.17369727047146402,0.2755905511811024,0.7970709159801035
simple,default,statistics_tfidf_pos,K-Nearest Neighbors,0.934560327198364,0.6301369863013698,0.1141439205955335,0.19327731092436973,0.7637726202611247
simple,default,statistics_tfidf_pos,Support Vector Machine,0.12116564417177914,0.061600885282183694,0.8287841191066998,0.11467811158798284,0.42795411358997815
simple,default,statistics_tfidf_pos,Naive Bayes,0.940865712338105,0.5717948717948718,0.5533498759305211,0.562421185372005,0.9155024416601019
simple,default,statistics_tfidf_pos,Decision Tree,0.9466598500340832,0.8879310344827587,0.2555831265508685,0.39691714836223513,0.6692055693915034
simple,default,statistics_tfidf_pos,Random Forest,0.9396728016359919,1.0,0.12158808933002481,0.2168141592920354,0.9328392499982974
simple,default,statistics_tfidf_pos,GBDT,0.9573960463531016,0.9090909090909091,0.4218362282878412,0.576271186440678,0.9203085731669387
simple,default,statistics_tfidf_pos,NN,0.9771642808452624,0.8853868194842407,0.7667493796526055,0.8218085106382979,0.9652514648825483
simple,default,statistics_tfidf_pos_liwc,Logistic Regression,0.9415473755964554,0.717391304347826,0.2456575682382134,0.36598890942698703,0.8683151750707753
simple,default,statistics_tfidf_pos_liwc,K-Nearest Neighbors,0.9393319700068167,0.6690647482014388,0.23076923076923078,0.3431734317343174,0.8168398493458257
simple,default,statistics_tfidf_pos_liwc,Support Vector Machine,0.9280845262440355,0.1724137931034483,0.01240694789081886,0.02314814814814815,0.5914116223474899
simple,default,statistics_tfidf_pos_liwc,Naive Bayes,0.9195637355146558,0.4446227929373997,0.6873449131513648,0.5399610136452242,0.8898455999037411
simple,default,statistics_tfidf_pos_liwc,Decision Tree,0.9507498295841854,0.8392857142857143,0.34987593052109184,0.49387040280210165,0.6794825633004071
simple,default,statistics_tfidf_pos_liwc,Random Forest,0.9395023858214042,1.0,0.11910669975186104,0.21286031042128603,0.9425545826248243
simple,default,statistics_tfidf_pos_liwc,GBDT,0.957225630538514,0.9175824175824175,0.4143920595533499,0.5709401709401709,0.9274907543832963
simple,default,statistics_tfidf_pos_liwc,NN,0.9747784594410361,0.8828828828828829,0.7295285359801489,0.7989130434782609,0.9667080609972325
simple,under,statistics,Logistic Regression,0.7631224764468372,0.7910447761194029,0.7142857142857143,0.7507082152974505,0.836492478914877
simple,under,statistics,K-Nearest Neighbors,0.7321668909825033,0.7574850299401198,0.6819407008086253,0.7177304964539007,0.7717336173666058
simple,under,statistics,Support Vector Machine,0.4306864064602961,0.4624277456647399,0.862533692722372,0.6020696142991533,0.45964843636785213
simple,under,statistics,Naive Bayes,0.5302826379542396,0.9230769230769231,0.0646900269541779,0.12090680100755667,0.633763730690085
simple,under,statistics,Decision Tree,0.756393001345895,0.8958333333333334,0.5795148247978437,0.7037643207855975,0.7699837695272875
simple,under,statistics,Random Forest,0.7779273216689099,0.8065476190476191,0.7304582210242587,0.7666195190947667,0.8468901254963337
simple,under,statistics,GBDT,0.765814266487214,0.7957957957957958,0.7142857142857143,0.7528409090909091,0.8466292786134539
simple,under,statistics,NN,0.7523553162853297,0.8106312292358804,0.6576819407008087,0.7261904761904763,0.8405247369793931
simple,under,statistics_tfidf,Logistic Regression,0.9623149394347241,0.9858356940509915,0.9380053908355795,0.9613259668508287,0.9946309016607251
simple,under,statistics_tfidf,K-Nearest Neighbors,0.746971736204576,0.7667638483965015,0.7088948787061995,0.7366946778711485,0.8225154334405704
simple,under,statistics_tfidf,Support Vector Machine,0.5410497981157469,0.5441176470588235,0.49865229110512127,0.520393811533052,0.5911007738457525
simple,under,statistics_tfidf,Naive Bayes,0.7388963660834454,0.9783783783783784,0.48787061994609165,0.6510791366906475,0.9795235196939396
simple,under,statistics_tfidf,Decision Tree,0.8021534320323015,0.9028776978417267,0.6765498652291105,0.773497688751926,0.8122989305277801
simple,under,statistics_tfidf,Random Forest,0.9004037685060565,0.9655172413793104,0.8301886792452831,0.8927536231884059,0.9839035736022954
simple,under,statistics_tfidf,GBDT,0.882907133243607,0.9104046242774566,0.8490566037735849,0.8786610878661087,0.9661840999333391
